report_date,market_name,contract_code,open_interest,dealer_long,dealer_short,asset_manager_long,asset_manager_short,leveraged_long,leveraged_short,other_long,other_short,nonreportable_long,nonreportable_short,symbol,available_at,leveraged_net,leveraged_net_pct_oi,leveraged_weekly_change,leveraged_percentile,leveraged_zscore,asset_manager_net,asset_manager_net_pct_oi,asset_manager_weekly_change,asset_manager_percentile,asset_manager_zscore,dealer_net,dealer_net_pct_oi,dealer_weekly_change,other_net,other_net_pct_oi,other_weekly_change,nonreportable_net,nonreportable_net_pct_oi,nonreportable_weekly_change,date,close,price_sma,price_momentum,price_normalized,state,extreme_direction,proxy_symbol
2011-02-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,917177,62820,266525,427807,120110,85373,194518,22781,44150,124567,98045,ES,2011-02-25 15:30:00-05:00,-109145,-11.900102161305833,0.709487439420343,,,307697,33.54826821867535,-0.8992143964098247,,,-203705,-22.209998724346555,1.9977046984642008,-21369,-2.329866536121163,-1.3895757298394251,26522,2.8916992030982023,-0.4184020116352962,2011-03-01,132.58999633789062,119.00799713134765,0.11899737301313958,298.5840874604152,NORMAL,,SPY
2011-03-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,946217,60178,262849,415559,124846,82842,201206,23929,34297,142577,101888,ES,2011-03-04 15:30:00-05:00,-118364,-12.509181297736143,-0.6090791364303101,,,290713,30.72371348221391,-2.8245547364614367,,,-202671,-21.419082514898804,0.7909162094477509,-10368,-1.0957317401822204,1.2341347959389426,40689,4.300176386600537,1.4084771835023346,,,,,,NORMAL,,SPY
2011-03-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,979528,60882,261911,413675,123342,86436,198022,23110,36709,142916,107036,ES,2011-03-11 15:30:00-05:00,-111586,-11.391813199826855,1.1173680979092886,,,290333,29.640091962659568,-1.0836215195543417,,,-201029,-20.523047835283933,0.8960346796148713,-13599,-1.388321722298903,-0.29258998211668263,35880,3.662988704763927,-0.6371876818366098,,,,,,NORMAL,,SPY
2011-03-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,1173662,60912,231268,421791,131071,89313,214699,21667,34199,164431,146877,ES,2011-03-18 15:30:00-04:00,-125386,-10.683314276171505,0.70849892365535,,,290720,24.770334218880734,-4.869757743778834,,,-170356,-14.51491144810005,6.0081363871838835,-12532,-1.0677690851369475,0.3205526371619556,17554,1.495660590527767,-2.1673281142361605,,,,,,NORMAL,,SPY
2011-03-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,808947,62793,246831,419833,128843,60224,176687,20157,28276,134017,116388,ES,2011-03-25 15:30:00-04:00,-116463,-14.396864071441021,-3.7135497952695165,,,290990,35.9714542485478,11.201120029667067,,,-184038,-22.750316151738,-8.235404703637952,-8119,-1.0036504245642792,0.06411866057266824,17629,2.1792527817026333,0.6835921911748664,2011-04-01,136.42999267578125,122.32899627685546,0.08493035925074553,307.2315105999296,NORMAL,,SPY
2011-03-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,826332,64222,256677,413664,122102,70757,190574,18353,31395,150775,117022,ES,2011-04-01 15:30:00-04:00,-119817,-14.499862040923018,-0.10299796948199713,,,291562,35.28388105507229,-0.687573193475508,,,-192455,-23.290275579307107,-0.5399594275691051,-13042,-1.5783002473582046,-0.5746498227939254,33753,4.084677829250229,1.9054250475475953,2011-04-01,136.42999267578125,122.32899627685546,0.08493035925074553,307.2315105999296,NORMAL,,SPY
2011-04-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,838763,65001,262760,399316,120698,77844,190849,21840,30276,159982,119399,ES,2011-04-08 15:30:00-04:00,-113005,-13.472816516703764,1.027045524219254,,,278618,33.21772658069085,-2.0661544743814417,,,-197759,-23.577458710028935,-0.28718313072182866,-8436,-1.0057668256706602,0.5725334216875444,40583,4.838434694901897,0.7537568656516687,,,,,,NORMAL,,SPY
2011-04-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,843173,63961,255828,402003,118824,72572,194363,20034,29704,161712,121562,ES,2011-04-15 15:30:00-04:00,-121791,-14.44436669580264,-0.9715501790988768,,,283179,33.58492266711576,0.3671960864249115,,,-191867,-22.75535388348536,0.8221048265435762,-9670,-1.146858355284147,-0.1410915296134867,40150,4.761774867079472,-0.07665982782242509,,,,,,NORMAL,,SPY
2011-04-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,859929,60705,258983,409646,121345,70776,187716,20614,30349,164937,128284,ES,2011-04-22 15:30:00-04:00,-116940,-13.598797109993965,0.8455695858086756,,,288301,33.52613994876321,-0.05878271835255333,,,-198278,-23.057484978411008,-0.3021310949256488,-9735,-1.1320702057960599,0.014788149488087043,36653,4.262328634108164,-0.49944623297130786,,,,,,NORMAL,,SPY
2011-04-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,872221,55648,286987,411439,118054,78081,172189,21732,32781,164720,121609,ES,2011-04-29 15:30:00-04:00,-94108,-10.789467348298196,2.8093297616957695,,,293385,33.636543949297256,0.11040400053404653,,,-231339,-26.52297984111825,-3.465494862707242,-11049,-1.2667661062964546,-0.1346959005003947,43111,4.942669346415645,0.6803407123074807,2011-05-01,134.89999389648438,124.79199600219727,0.048336972138123116,303.78605240587615,NORMAL,,SPY
